3/3/20 1:17 PM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	     438	14337	                      82320	                        96188	    13	
Remaining:       	     437	14320	                      82220	                        96072	    13	
Unique:          	     438	14337	                      82320	                        96188	    13	
Unique Remaining:	     437	14320	                      82220	                        96072	    13	


Individual File Statistics:

File Name	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
01.txt   	            41	                40	             41	                       40	       1233	           1216	        1233	                  1216	                             7015	                                 6915	                              7015	                                        6915	                               8204	                                   8088	                                8204	                                          8088	
02.txt   	            21	                21	             21	                       21	        677	            677	         677	                   677	                             3912	                                 3912	                              3912	                                        3912	                               4566	                                   4566	                                4566	                                          4566	
03.txt   	            51	                51	             51	                       51	       1180	           1180	        1180	                  1180	                             6470	                                 6470	                              6470	                                        6470	                               7595	                                   7595	                                7595	                                          7595	
04.txt   	            30	                30	             30	                       30	       1244	           1244	        1244	                  1244	                             6976	                                 6976	                              6976	                                        6976	                               8189	                                   8189	                                8189	                                          8189	
05.txt   	            27	                27	             27	                       27	        901	            901	         901	                   901	                             5270	                                 5270	                              5270	                                        5270	                               6143	                                   6143	                                6143	                                          6143	
06.txt   	            57	                57	             57	                       57	       1721	           1721	        1721	                  1721	                            10229	                                10229	                             10229	                                       10229	                              11889	                                  11889	                               11889	                                         11889	
07.txt   	            48	                48	             48	                       48	       1609	           1609	        1609	                  1609	                             9363	                                 9363	                              9363	                                        9363	                              10919	                                  10919	                               10919	                                         10919	
08.txt   	            24	                24	             24	                       24	        746	            746	         746	                   746	                             4293	                                 4293	                              4293	                                        4293	                               5012	                                   5012	                                5012	                                          5012	
09.txt   	            27	                27	             27	                       27	       1015	           1015	        1015	                  1015	                             5785	                                 5785	                              5785	                                        5785	                               6769	                                   6769	                                6769	                                          6769	
10.txt   	            19	                19	             19	                       19	        746	            746	         746	                   746	                             4328	                                 4328	                              4328	                                        4328	                               5054	                                   5054	                                5054	                                          5054	
11.txt   	            28	                28	             28	                       28	       1059	           1059	        1059	                  1059	                             6272	                                 6272	                              6272	                                        6272	                               7302	                                   7302	                                7302	                                          7302	
12.txt   	            32	                32	             32	                       32	       1117	           1117	        1117	                  1117	                             6382	                                 6382	                              6382	                                        6382	                               7465	                                   7465	                                7465	                                          7465	
13.txt   	            33	                33	             33	                       33	       1089	           1089	        1089	                  1089	                             6025	                                 6025	                              6025	                                        6025	                               7081	                                   7081	                                7081	                                          7081	
